IE_XML_ID;IE_NAME;IE_ID;IE_ACTIVE;IE_ACTIVE_FROM;IE_ACTIVE_TO;IE_PREVIEW_PICTURE;IE_PREVIEW_TEXT;IE_PREVIEW_TEXT_TYPE;IE_DETAIL_PICTURE;IE_DETAIL_TEXT;IE_DETAIL_TEXT_TYPE;IE_CODE;IE_SORT;IE_TAGS;IP_PROP159;IC_GROUP0;IC_GROUP1;IC_GROUP2
16016;Сергеева Ольга Викторовна;16016;Y;;;/upload/iblock/731/ahv20c4opuo14mglpadj6mr5vd4mrklx/DSC_1696_k_1.jpg;;text;;;text;sergeeva-olga-viktorovna;101;;Руководитель аппарата;;;
16017;Шарыгин Константин Евгеньевич;16017;Y;;;/upload/iblock/187/twzmm11fnq0h5xx5vv8zxy2587gqb8yr/1_DSC_9731_1.jpg;;text;;;text;sharygin-konstantin-evgenevich;102;;Советники Уполномоченного;;;
16018;Якимович Екатерина Андреевна  ;16018;Y;;;/upload/iblock/3d4/w55ud111296gl72ji2ux117fo6cjqcat/1_DSC_0138_k.jpg;;text;;;text;yakimovich-ekaterina-andreevna-;103;;Советники Уполномоченного;;;
16019;Берницкая Елена Геннадьевна;16019;Y;;;/upload/iblock/79c/u9fpt4co5oisnysxg67guhubulg0ndyg/DSC_0196_k.jpg;;text;;;text;bernitskaya-elena-gennadevna;101;;Начальник отдела;Юридический отдел;;
16020;Фаюстова Елена Владимировна;16020;Y;;;/upload/iblock/e34/0dqtwx8o7lkiqni06qdpo96vb262akiv/foto_k_1.jpg;;text;;;text;fayustova-elena-vladimirovna;102;;Специалисты отдела;Юридический отдел;;
16021;Чирочкин Игорь Васильевич ;16021;Y;;;/upload/iblock/da3/hv0wp9q9qgtfvyq1x3p58yzjrxi2623g/1_DSC_0561_k.jpg;;text;;;text;chirochkin-igor-vasilevich-;103;;Специалисты отдела;Юридический отдел;;
16022;Васильев Сергей Георгиевич;16022;Y;;;/upload/iblock/72f/ov8w61jgd5oevicghm92wnnzfckk560e/1_DSC_1968_k.jpg;;text;;;text;vasilev-sergey-georgievich;104;;Специалисты отдела;Юридический отдел;;
16023;Денисенко Григорий Валерьевич;16023;Y;;;/upload/iblock/1f7/bc5uj3fuio211dsc1pnr58ljw1zcplmr/1_DSC_1322_1.jpg;;text;;;text;denisenko-grigoriy-valerevich;105;;Специалисты отдела;Юридический отдел;;
16024;Жирнова Наталья Геннадьевна;16024;Y;;;/upload/iblock/fca/lstfaw1twhk48vax3si824l3e8wr26gr/DSC_0166_k_2.jpg;;text;;;text;zhirnova-natalya-gennadevna;101;;Начальник отдела;Отдел правовой защиты;;
16025;Аширова Ольга Борисовна;16025;Y;;;/upload/iblock/6f5/u7zyoifx6a1s1px04y32dr0rvnm3ymvn/1_DSC_0530_k.jpg;;text;;;text;ashirova-olga-borisovna;102;;Специалисты отдела;Отдел правовой защиты;;
