property,value
standardversion,http://opendata.gosmonitor.ru/standard/3.0
identifier,2326007693-Strukturaadministracii
title,Структура администрации
description,Структура администрации Новопавловского сельского поселения Белоглинского района Краснодарского края
creator,Администрация Новопавловского сельского поселения Белоглинского района Краснодарского края
created,20161223
modified,20161223
subject,"структура, администрация, поселение, Новопавловское, Новопавловка"
format,csv
provenance,------------------------------------------
valid,31 декабря текущего года
publishername,Глава сельского поселения Склярова Лариса Арсентьевна
publisherphone,8(86154)94268
publishermbox,Novo.posel@mail.ru
data-20161223-structure-20161223,http://nesday.tmweb.ru/opendata/2326007693-Strukturaadministracii/data-20161223-structure-20161223.csv
structure-20161223,http://nesday.tmweb.ru/opendata/2326007693-Strukturaadministracii/structure-20161223.csv
